regcode,sepa,name,name_before_quotes,name_in_quotes,name_after_quotes,without_quotes,regtype,regtype_text,type,type_text,registered,terminated,closed,address,index,addressid,region,city,atvk,reregistration_term,,,,,,,,,,,,,,,,,,,,,,,,,
41202013815,LV53ZZZ41202013815,"IK ""KRASTNIEKI A I""",IK,KRASTNIEKI A I,,0,K,Komercreģistrs,IK,Individuālais komersants,26/02/1998,10/04/2014,L,Dundagas nov.,,,,,,,,,,,,, Kolkas pag., Kolka," """"Krastnieki"""""";3275;103045133;100015821;0;0885162;",,,,,,,,,,,,,,,,
41502039688,LV14ZZZ41502039688,"IK ""MasterClean""",IK,MasterClean,,0,K,Komercreģistrs,IK,Individuālais komersants,03/03/2020,, ,Augšdaugavas nov.,,,,,,,,,,,,, Naujenes pag., Krauja, Meža iela 4 - 75,5451,115740415,100016462,0,440274,,,,,,,,,,,
40008048734,LV28ZZZ40008048734,"Mednieku klubs ""Atpūtas""",Mednieku klubs,Atpūtas,,0,B,Biedrību un nodibinājumu reģistrs,BDR,Biedrība,23/02/2000,, ,Rīga,,,,,,,,,,,,, Zemes iela 4 - 69,1082,115058568,0,100003003,10000,,,,,,,,,,,,,
40002158072,LV09ZZZ40002158072,IK DANDIS,IK,DANDIS,,1,K,Komercreģistrs,IK,Individuālais komersants,24/11/2010,09/04/2014,L,Babītes nov.,,,,,,,,,,,,, Babītes pag., Vīkuļi," """"Jaunskadiņi"""""";2107;103045920;100015725;0;0804948;",,,,,,,,,,,,,,,,
40002102524,LV88ZZZ40002102524,"IK ""Dīfija""",IK,Dīfija,,0,K,Komercreģistrs,IK,Individuālais komersants,02/04/2004,09/04/2014,L,Rīga,,,,,,,,,,,,, Avotu iela 17,1011,101858996,0,100003003,10000,,,,,,,,,,,,,
41502039692,LV03ZZZ41502039692,"IK ""D.Luxe""",IK,D.Luxe,,0,K,Komercreģistrs,IK,Individuālais komersants,05/03/2020,, ,Daugavpils,,,,,,,,,,,,, Aroniju iela 66,5414,105057694,0,100003011,50000,,,,,,,,,,,,,
40008229769,LV10ZZZ40008229769,"""IEDVESMU PĻAVA""",,IEDVESMU PĻAVA,,0,B,Biedrību un nodibinājumu reģistrs,BDR,Biedrība,28/10/2014,, ,Rīga,,,,,,,,,,,,, Apes iela 5A - 65,1039,117983582,0,100003003,10000,,,,,,,,,,,,,
50002172701,LV45ZZZ50002172701,IK EUROKONT,IK,EUROKONT,,1,K,Komercreģistrs,IK,Individuālais komersants,30/09/2014,, ,Rīga,,,,,,,,,,,,, Neretas iela 2 - 9,1004,118038565,0,100003003,10000,,,,,,,,,,,,,
40008228763,LV12ZZZ40008228763,"""MĀJAS APSAIMNIEKOŠANA""",,MĀJAS APSAIMNIEKOŠANA,,0,B,Biedrību un nodibinājumu reģistrs,BDR,Biedrība,07/10/2014,, ,Jelgavas nov.,,,,,,,,,,,,, Cenu pag., Brankas, Spartaka iela 9 - 13,3042,115524146,100016534,0,546744,,,,,,,,,,,
40003868290,,"Sabiedrība ar ierobežotu atbildību ""AST BŪVE""",Sabiedrība ar ierobežotu atbildību,AST BŪVE,,0,K,Komercreģistrs,SIA,Sabiedrība ar ierobežotu atbildību,24/10/2006,11/12/2013,L,Jūrmala,,,,,,,,,,,,, Raiņa iela 79-28,2011,116484351,0,100003036,130000,,,,,,,,,,,,,
